analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
temporal_evaluation,0,2011-11-24,120,34,61,0.008543417366946778,1.0166666666666666,14,24,88,False
temporal_evaluation,1,2012-02-22,120,38,60,0.008403361344537815,1.0,9,25,83,False
temporal_evaluation,2,2012-05-22,120,35,62,0.008683473389355743,1.0333333333333334,14,20,86,False
temporal_evaluation,3,2012-08-20,120,38,43,0.0060224089635854345,0.7166666666666667,7,16,84,False
temporal_evaluation,4,2012-11-18,120,25,20,0.0028011204481792717,0.3333333333333333,6,9,102,False
temporal_evaluation,5,2013-02-16,120,21,15,0.0021008403361344537,0.25,3,8,105,False
temporal_evaluation,6,2013-05-17,120,14,12,0.0016806722689075631,0.2,4,7,109,False
temporal_evaluation,7,2013-08-15,120,11,7,0.000980392156862745,0.11666666666666667,2,2,113,False
temporal_evaluation,8,2013-11-13,120,6,4,0.0005602240896358543,0.06666666666666667,2,1,116,False
temporal_evaluation,9,2014-02-11,120,6,3,0.0004201680672268908,0.05,1,2,117,False
temporal_evaluation,10,2014-05-12,120,2,1,0.00014005602240896358,0.016666666666666666,1,1,119,False
temporal_evaluation,11,2014-08-10,120,6,5,0.0007002801120448179,0.08333333333333333,5,3,115,False
temporal_evaluation,12,2014-11-08,120,4,2,0.00028011204481792715,0.03333333333333333,1,2,118,False
temporal_evaluation,13,2015-05-07,120,2,1,0.00014005602240896358,0.016666666666666666,1,1,119,False
