analysis_mode,snapshot_index,label,bridge_width,density,centralization,clustering
temporal_evaluation,0,2011-11-24,24.0,0.008543417366946778,0.1109528557185586,0.058433048433048425
temporal_evaluation,1,2012-02-22,25.0,0.008403361344537815,0.06836632958268053,0.02211640211640212
temporal_evaluation,2,2012-05-22,20.0,0.008683473389355743,0.11081042586526135,0.044926739926739914
temporal_evaluation,3,2012-08-20,16.0,0.0060224089635854345,0.05369605469306367,0.0
temporal_evaluation,4,2012-11-18,9.0,0.0028011204481792717,0.048426150121065374,0.011666666666666665
temporal_evaluation,5,2013-02-16,8.0,0.0021008403361344537,0.02350092579404643,0.0
temporal_evaluation,6,2013-05-17,7.0,0.0016806722689075631,0.03247400655177325,0.018055555555555557
temporal_evaluation,7,2013-08-15,2.0,0.000980392156862745,0.016094573422589374,0.0
temporal_evaluation,8,2013-11-13,1.0,0.0005602240896358543,0.01652186298248113,0.0
temporal_evaluation,9,2014-02-11,2.0,0.0004201680672268908,0.008118501637943313,0.0
temporal_evaluation,10,2014-05-12,1.0,0.00014005602240896358,0.008403361344537815,0.0
temporal_evaluation,11,2014-08-10,3.0,0.0007002801120448179,0.04201680672268908,0.0
temporal_evaluation,12,2014-11-08,2.0,0.00028011204481792715,0.008260931491240565,0.0
temporal_evaluation,13,2015-05-07,1.0,0.00014005602240896358,0.008403361344537815,0.0
