analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
temporal_evaluation,0,d38-48,120,109,222,0.031092436974789917,3.7,17,74,12,False
temporal_evaluation,1,d48-58,120,72,81,0.01134453781512605,1.35,7,27,54,False
temporal_evaluation,2,d58-68,120,23,14,0.00196078431372549,0.23333333333333334,3,7,106,False
temporal_evaluation,3,d68-78,120,25,18,0.0025210084033613447,0.3,3,4,103,False
temporal_evaluation,4,d78-88,120,23,17,0.002380952380952381,0.2833333333333333,6,6,103,False
temporal_evaluation,5,d88-98,120,16,14,0.00196078431372549,0.23333333333333334,5,6,108,False
temporal_evaluation,6,d98-108,120,23,24,0.0033613445378151263,0.4,6,6,101,False
temporal_evaluation,7,d108-118,120,21,13,0.0018207282913165266,0.21666666666666667,5,8,107,False
temporal_evaluation,8,d118-128,120,11,8,0.0011204481792717086,0.13333333333333333,4,4,112,False
temporal_evaluation,9,d128-138,120,19,13,0.0018207282913165266,0.21666666666666667,5,7,107,False
temporal_evaluation,10,d138-148,120,10,6,0.0008403361344537816,0.1,2,3,114,False
temporal_evaluation,11,d148-158,120,8,4,0.0005602240896358543,0.06666666666666667,1,1,116,False
temporal_evaluation,12,d158-168,120,4,2,0.00028011204481792715,0.03333333333333333,1,2,118,False
temporal_evaluation,13,d168-178,120,8,4,0.0005602240896358543,0.06666666666666667,1,1,116,False
temporal_evaluation,14,d178-188,120,4,2,0.00028011204481792715,0.03333333333333333,1,1,118,False
temporal_evaluation,15,d188-198,120,4,2,0.00028011204481792715,0.03333333333333333,1,2,118,False
