analysis_mode,snapshot_index,label,bridge_width,density,centralization,clustering
temporal_evaluation,0,2011-11-23,24.0,0.008543417366946778,0.1109528557185586,0.05843304843304843
temporal_evaluation,1,2012-02-21,25.0,0.008403361344537815,0.06836632958268053,0.022116402116402114
temporal_evaluation,2,2012-05-21,22.0,0.008683473389355743,0.11081042586526135,0.04492673992673992
temporal_evaluation,3,2012-08-19,19.0,0.0060224089635854345,0.05369605469306367,0.0
temporal_evaluation,4,2012-11-17,10.0,0.0028011204481792717,0.048426150121065374,0.011666666666666665
temporal_evaluation,5,2013-02-15,9.0,0.002380952380952381,0.040307648483122065,0.0
temporal_evaluation,6,2013-05-16,7.0,0.0016806722689075631,0.03247400655177325,0.018055555555555557
temporal_evaluation,7,2013-08-14,3.0,0.000980392156862745,0.016094573422589374,0.0
temporal_evaluation,8,2013-11-12,1.0,0.0005602240896358543,0.01652186298248113,0.0
temporal_evaluation,9,2014-02-10,2.0,0.0004201680672268908,0.008118501637943313,0.0
temporal_evaluation,10,2014-05-11,1.0,0.00014005602240896358,0.008403361344537815,0.0
temporal_evaluation,11,2014-08-09,3.0,0.0007002801120448179,0.04201680672268908,0.0
temporal_evaluation,12,2014-11-07,2.0,0.00028011204481792715,0.008260931491240565,0.0
